ORDERNUMBER,QUANTITYORDERED,DEALSIZE,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,RESULT,PRODUCTCODE,TERRITORY,COUNTRY,CITY,CUSTOMERID,CUSTOMERNAME,ADDRESSLINE1
10388,42,Medium,76.36,4,3207.12,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,95,YES,S10_1678,NA,USA,New Bedford,C0024,FunGiftIdeas.com,1785 First Street
10403,24,Small,100,7,2434.56,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,95,NO,S10_1678,EMEA,UK,Liverpool,C0025,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery
10417,66,Large,100,2,7516.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,YES,S10_1678,EMEA,Spain,Madrid,C0026,Euro Shopping Channel,"C/ Moralzarzal, 86"
10103,26,Medium,100,11,5404.62,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,214,YES,S10_1949,EMEA,Norway,Stavern,C0027,Baane Mini Imports,Erling Skakkes gate 78
10112,29,Large,100,1,7209.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,YES,S10_1949,EMEA,Sweden,Lule,C0028,"Volvo Model Replicas, Co",Berguvsv„gen  8
10126,38,Large,100,11,7329.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,YES,S10_1949,EMEA,Spain,Madrid,C0029,"Corrida Auto Replicas, Ltd","C/ Araquil, 67"
10140,37,Large,100,11,7374.1,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,214,YES,S10_1949,NA,USA,Burlingame,C0030,Technics Stores Inc.,9408 Furth Circle
10150,45,Large,100,8,10993.5,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,214,YES,S10_1949,APAC,Singapore,Singapore,C0031,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye"
10163,21,Medium,100,1,4860.24,10/20/2003 0:00,Shipped,4,10,2003,Classic Cars,214,YES,S10_1949,NA,USA,NYC,C0032,Classic Legends Inc.,5905 Pompton St.
10174,34,Large,100,4,8014.82,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,214,YES,S10_1949,APAC,Australia,South Brisbane,C0033,"Australian Gift Network, Co",31 Duncan St. West End
10183,23,Medium,100,8,5372.57,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,214,YES,S10_1949,NA,USA,Philadelphia,C0034,"Classic Gift Ideas, Inc",782 First Street
10194,42,Large,100,11,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,YES,S10_1949,EMEA,France,Lyon,C0035,"Saveley & Henriot, Co.","2, rue du Commerce"
10206,47,Large,100,6,9064.89,12/5/2003 0:00,Shipped,4,12,2003,Classic Cars,214,YES,S10_1949,NA,Canada,Vancouver,C0036,Canadian Gift Exchange Network,1900 Oak St.
10215,35,Medium,100,3,6075.3,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,214,YES,S10_1949,NA,USA,Burbank,C0037,West Coast Collectables Co.,3675 Furth Circle
10228,29,Medium,100,2,6463.23,3/10/2004 0:00,Shipped,1,3,2004,Classic Cars,214,YES,S10_1949,NA,USA,Cambridge,C0038,Cambridge Collectables Co.,4658 Baden Av.
10245,34,Medium,100,9,6120.34,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars,214,YES,S10_1949,NA,USA,New Haven,C0039,Super Scale Inc.,567 North Pendale Street
10258,32,Large,100,6,7680.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,YES,S10_1949,APAC,Japan,Minato-ku,C0040,"Tokyo Collectables, Ltd",2-2-8 Roppongi
10270,21,Medium,100,9,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,YES,S10_1949,APAC,Australia,Chatswood,C0041,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy"
10280,34,Large,100,2,8014.82,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,214,YES,S10_1949,EMEA,Italy,Torino,C0042,Amica Models & Co.,Via Monte Bianco 34
10291,37,Large,100,11,7136.19,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars,214,YES,S10_1949,EMEA,Sweden,Boras,C0043,Scandinavian Gift Ideas,?kergatan 24
10304,47,Large,100,6,10172.7,10/11/2004 0:00,Shipped,4,10,2004,Classic Cars,214,YES,S10_1949,EMEA,France,Versailles,C0044,Auto Assoc. & Cie.,"67, avenue de l'Europe"
10312,48,Large,100,3,11623.7,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,214,YES,S10_1949,NA,USA,San Rafael,C0045,Mini Gifts Distributors Ltd.,5677 Strong St.
10322,40,Medium,100,1,6000.4,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars,214,YES,S10_1949,NA,USA,Nashua,C0046,Online Diecast Creations Co.,2304 Long Airport Avenue
10333,26,Medium,100,3,3003,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,214,YES,S10_1949,NA,USA,San Francisco,C0047,Mini Wheels Co.,5557 North Pendale Street
10347,30,Medium,100,1,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,YES,S10_1949,APAC,Australia,Melbourne,C0048,"Australian Collectors, Co.",636 St Kilda Road
10357,32,Medium,100,10,5691.84,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars,214,YES,S10_1949,NA,USA,San Rafael,C0049,Mini Gifts Distributors Ltd.,5677 Strong St.
10369,41,Medium,100,2,4514.92,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,214,YES,S10_1949,NA,USA,Brickhaven,C0050,Collectables For Less Inc.,7825 Douglas Av.
10381,36,Large,100,3,8254.8,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,214,YES,S10_1949,NA,USA,San Francisco,C0051,Corporate Gift Ideas Co.,7734 Strong St.
10391,24,Small,100,4,2416.56,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,214,NO,S10_1949,APAC,Australia,North Sydney,C0052,"Anna's Decorations, Ltd",201 Miller Street
10411,23,Medium,100,9,4140.23,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars,214,YES,S10_1949,NA,Canada,Montreal,C0053,Quebec Home Shopping Network,43 rue St. Laurent
10424,50,Large,100,6,12001,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,214,YES,S10_1949,EMEA,Spain,Madrid,C0054,Euro Shopping Channel,"C/ Moralzarzal, 86"
10107,39,Medium,99.91,5,3896.49,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,118,YES,S10_2016,NA,USA,NYC,C0055,Land of Toys Inc.,897 Long Airport Avenue
10120,29,Small,96.34,3,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,NO,S10_2016,APAC,Australia,Melbourne,C0056,"Australian Collectors, Co.",636 St Kilda Road
10134,27,Medium,100,5,3307.77,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,118,YES,S10_2016,EMEA,France,Paris,C0057,Lyon Souveniers,27 rue du Colonel Pierre Avia
10145,37,Medium,100,9,5192.95,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,118,YES,S10_2016,NA,USA,Pasadena,C0058,Toys4GrownUps.com,78934 Hillside Dr.
10159,37,Medium,100,17,5016.83,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,118,YES,S10_2016,NA,USA,San Francisco,C0059,Corporate Gift Ideas Co.,7734 Strong St.
10168,27,Medium,100,4,3660.93,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,118,YES,S10_2016,NA,USA,Burlingame,C0060,Technics Stores Inc.,9408 Furth Circle
10180,42,Medium,100,12,4695.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,118,YES,S10_2016,EMEA,France,Lille,C0061,Daedalus Designs Imports,"184, chausse de Tournai"
10188,38,Medium,96.34,4,3660.92,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,YES,S10_2016,EMEA,Norway,Bergen,C0062,Herkku Gifts,"Drammen 121, PR 744 Sentrum"
10201,24,Medium,100,5,3025.92,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,118,YES,S10_2016,NA,USA,San Francisco,C0063,Mini Wheels Co.,5557 North Pendale Street
10210,23,Medium,100,2,3009.09,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,118,YES,S10_2016,APAC,Japan,Osaka,C0064,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku"
10223,47,Medium,100,4,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,YES,S10_2016,APAC,Australia,Melbourne,C0065,"Australian Collectors, Co.",636 St Kilda Road
10236,22,Small,100,1,2852.08,4/3/2004 0:00,Shipped,2,4,2004,Motorcycles,118,NO,S10_2016,NA,USA,Philadelphia,C0066,Motor Mint Distributors Inc.,11328 Douglas Av.
10251,44,Medium,100,5,5756.52,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,118,YES,S10_2016,NA,USA,Newark,C0067,Tekni Collectables Inc.,7476 Moss Rd.
10263,40,Medium,100,5,4472,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,118,YES,S10_2016,NA,USA,Bridgewater,C0068,Gift Depot Inc.,25593 South Bay Ln.
10275,22,Small,100,4,2904.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,NO,S10_2016,EMEA,France,Nantes,C0069,La Rochelle Gifts,"67, rue des Cinquante Otages"
10285,47,Medium,100,9,6484.59,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,118,YES,S10_2016,NA,USA,Cambridge,C0070,Marta's Replicas Co.,39323 Spinnaker Dr.
10298,39,Medium,96.34,1,3757.26,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,YES,S10_2016,EMEA,France,Nantes,C0071,Atelier graphique,"54, rue Royale"
10308,34,Medium,100,2,4043.96,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,118,YES,S10_2016,NA,USA,White Plains,C0072,Mini Classics,3758 North Pendale Street
10318,45,Medium,100,4,5566.5,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,118,YES,S10_2016,NA,USA,Allentown,C0073,Diecast Classics Inc.,7586 Pompton St.
10329,20,Medium,100,2,3176,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,118,YES,S10_2016,NA,USA,NYC,C0074,Land of Toys Inc.,897 Long Airport Avenue
10339,40,Small,68.92,4,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,NO,S10_2016,APAC,Japan,Minato-ku,C0075,"Tokyo Collectables, Ltd",2-2-8 Roppongi
10361,26,Small,51.15,8,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,NO,S10_2016,APAC,Australia,Chatswood,C0076,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy"
10374,39,Medium,100,5,5288.01,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,118,YES,S10_2016,APAC,Australia,South Brisbane,C0077,"Australian Gift Network, Co",31 Duncan St. West End
10388,50,Small,44.51,5,2225.5,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,118,NO,S10_2016,NA,USA,New Bedford,C0078,FunGiftIdeas.com,1785 First Street
10402,45,Medium,100,1,5833.8,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles,118,YES,S10_2016,EMEA,France,Paris,C0079,Auto Canal Petit,"25, rue Lauriston"
10417,45,Medium,100,5,5887.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,118,YES,S10_2016,EMEA,Spain,Madrid,C0080,Euro Shopping Channel,"C/ Moralzarzal, 86"
10107,27,Medium,100,4,6065.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,193,YES,S10_4698,NA,USA,NYC,C0081,Land of Toys Inc.,897 Long Airport Avenue
10120,46,Large,100,2,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,YES,S10_4698,APAC,Australia,Melbourne,C0082,"Australian Collectors, Co.",636 St Kilda Road
10134,31,Large,100,4,7023.98,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,193,YES,S10_4698,EMEA,France,Paris,C0083,Lyon Souveniers,27 rue du Colonel Pierre Avia
10145,33,Medium,100,8,5176.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,193,YES,S10_4698,NA,USA,Pasadena,C0084,Toys4GrownUps.com,78934 Hillside Dr.
10159,22,Medium,100,16,4132.7,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,193,YES,S10_4698,NA,USA,San Francisco,C0085,Corporate Gift Ideas Co.,7734 Strong St.
10168,20,Medium,100,3,4183,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,193,YES,S10_4698,NA,USA,Burlingame,C0086,Technics Stores Inc.,9408 Furth Circle
10180,41,Large,100,11,8892.9,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,193,YES,S10_4698,EMEA,France,Lille,C0087,Daedalus Designs Imports,"184, chausse de Tournai"
10188,45,Large,100,3,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,YES,S10_4698,EMEA,Norway,Bergen,C0088,Herkku Gifts,"Drammen 121, PR 744 Sentrum"
10201,49,Large,100,4,8065.89,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,193,YES,S10_4698,NA,USA,San Francisco,C0089,Mini Wheels Co.,5557 North Pendale Street
10210,34,Medium,100,1,6123.4,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,193,YES,S10_4698,APAC,Japan,Osaka,C0090,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku"
10223,49,Large,100,3,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,YES,S10_4698,APAC,Australia,Melbourne,C0091,"Australian Collectors, Co.",636 St Kilda Road
10237,39,Large,100,9,7023.9,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,193,YES,S10_4698,NA,USA,NYC,C0092,Vitachrome Inc.,2678 Kingston Rd.
10251,43,Large,100,4,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,YES,S10_4698,NA,USA,Newark,C0093,Tekni Collectables Inc.,7476 Moss Rd.
10263,41,Large,100,4,8336.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,193,YES,S10_4698,NA,USA,Bridgewater,C0094,Gift Depot Inc.,25593 South Bay Ln.
10275,36,Medium,100,3,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,YES,S10_4698,EMEA,France,Nantes,C0095,La Rochelle Gifts,"67, rue des Cinquante Otages"
10285,27,Medium,100,8,5438.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,193,YES,S10_4698,NA,USA,Cambridge,C0096,Marta's Replicas Co.,39323 Spinnaker Dr.
10299,29,Medium,100,11,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,YES,S10_4698,EMEA,Finland,Helsinki,C0097,"Toys of Finland, Co.",Keskuskatu 45
10308,20,Medium,100,1,4570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,193,YES,S10_4698,NA,USA,White Plains,C0098,Mini Classics,3758 North Pendale Street
10318,37,Large,100,3,7667.14,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,193,YES,S10_4698,NA,USA,Allentown,C0099,Diecast Classics Inc.,7586 Pompton St.
10329,26,Medium,100,3,5868.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,193,YES,S10_4698,NA,USA,NYC,C0100,Land of Toys Inc.,897 Long Airport Avenue
10339,39,Small,76.67,3,2990.13,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,193,NO,S10_4698,APAC,Japan,Minato-ku,C0101,"Tokyo Collectables, Ltd",2-2-8 Roppongi
10362,22,Medium,100,4,3664.1,1/5/2005 0:00,Shipped,1,1,2005,Motorcycles,193,YES,S10_4698,NA,USA,Burlingame,C0102,Technics Stores Inc.,9408 Furth Circle
10374,22,Medium,100,1,3834.38,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,193,YES,S10_4698,APAC,Australia,South Brisbane,C0103,"Australian Gift Network, Co",31 Duncan St. West End
10388,21,Small,86.77,7,1822.17,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,193,NO,S10_4698,NA,USA,New Bedford,C0104,FunGiftIdeas.com,1785 First Street
10403,66,Large,100,9,11886.6,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,193,YES,S10_4698,EMEA,UK,Liverpool,C0105,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery
10417,56,Large,100,4,9218.16,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,193,YES,S10_4698,EMEA,Spain,Madrid,C0106,Euro Shopping Channel,"C/ Moralzarzal, 86"
10105,50,Large,100,2,7208,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars,136,YES,S10_4757,EMEA,Denmark,Kobenhavn,C0107,Danish Wholesale Imports,Vinb'ltet 34
10119,46,Medium,100,11,5004.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars,136,YES,S10_4757,EMEA,Austria,Salzburg,C0108,Salzburg Collectables,Geislweg 14
10129,33,Medium,100,2,4398.24,6/12/2003 0:00,Shipped,2,6,2003,Classic Cars,136,YES,S10_4757,EMEA,UK,London,C0109,"Stylish Desk Decors, Co.",35 King George
10143,49,Medium,100,15,5597.76,8/10/2003 0:00,Shipped,3,8,2003,Classic Cars,136,YES,S10_4757,NA,USA,New Bedford,C0110,Mini Creations Ltd.,4575 Hillside Dr.
10155,32,Medium,100,13,4526.08,10/6/2003 0:00,Shipped,4,10,2003,Classic Cars,136,YES,S10_4757,EMEA,Finland,Helsinki,C0111,"Toys of Finland, Co.",Keskuskatu 45
10167,44,Medium,100,9,5924.16,10/23/2003 0:00,Cancelled,4,10,2003,Classic Cars,136,YES,S10_4757,EMEA,Sweden,Boras,C0112,Scandinavian Gift Ideas,?kergatan 24
10178,24,Medium,100,12,3492.48,11/8/2003 0:00,Shipped,4,11,2003,Classic Cars,136,YES,S10_4757,EMEA,France,Toulouse,C0113,Alpha Cognac,1 rue Alsace-Lorraine
10186,26,Medium,100,9,3854.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,136,YES,S10_4757,EMEA,UK,London,C0114,"Double Decker Gift Stores, Ltd",120 Hanover Sq.
10197,45,Medium,100,6,5324.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,136,YES,S10_4757,EMEA,Spain,Barcelona,C0115,Enaco Distributors,"Rambla de Catalu¤a, 23"
10209,39,Medium,100,8,5197.92,1/9/2004 0:00,Shipped,1,1,2004,Classic Cars,136,YES,S10_4757,NA,USA,Los Angeles,C0116,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.
10222,49,Medium,100,12,5997.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars,136,YES,S10_4757,NA,USA,San Diego,C0117,Collectable Mini Designs Co.,361 Furth Circle
10248,20,Small,100,3,2910.4,5/7/2004 0:00,Cancelled,2,5,2004,Classic Cars,136,NO,S10_4757,NA,USA,NYC,C0118,Land of Toys Inc.,897 Long Airport Avenue
10261,27,Medium,100,1,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,136,YES,S10_4757,NA,Canada,Montreal,C0119,Quebec Home Shopping Network,43 rue St. Laurent
10273,30,Medium,100,4,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,136,YES,S10_4757,EMEA,Belgium,Bruxelles,C0120,Petit Auto,Rue Joseph-Bens 532
10283,25,Small,100,6,2992,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,136,NO,S10_4757,NA,Canada,Tsawassen,C0121,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.
10295,24,Medium,100,1,3427.2,9/10/2004 0:00,Shipped,3,9,2004,Classic Cars,136,YES,S10_4757,NA,USA,Boston,C0122,Gifts4AllAges.com,8616 Spinnaker Dr.
10307,22,Small,100,9,2692.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,136,NO,S10_4757,NA,USA,Philadelphia,C0123,"Classic Gift Ideas, Inc",782 First Street
10316,33,Medium,100,17,4128.96,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars,136,YES,S10_4757,EMEA,UK,Cowes,C0124,giftsbymail.co.uk,Garden House Crowther Way
10325,47,Medium,64.93,6,3051.71,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars,136,YES,S10_4757,EMEA,Norway,Stavern,C0125,Baane Mini Imports,Erling Skakkes gate 78
10337,25,Small,48.05,8,1201.25,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars,136,NO,S10_4757,NA,USA,NYC,C0126,Classic Legends Inc.,5905 Pompton St.
10350,26,Small,75.47,5,1962.22,12/2/2004 0:00,Shipped,4,12,2004,Classic Cars,136,NO,S10_4757,EMEA,Spain,Madrid,C0127,Euro Shopping Channel,"C/ Moralzarzal, 86"
10359,48,Small,54.68,6,2624.64,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,136,NO,S10_4757,EMEA,France,Reims,C0128,Reims Collectables,59 rue de l'Abbaye
10373,39,Medium,100,3,4046.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars,136,YES,S10_4757,EMEA,Finland,Oulu,C0129,"Oulu Toy Supplies, Inc.",Torikatu 38
10384,34,Medium,100,4,4846.7,2/23/2005 0:00,Shipped,1,2,2005,Classic Cars,136,YES,S10_4757,NA,USA,San Francisco,C0130,Corporate Gift Ideas Co.,7734 Strong St.
10395,32,Medium,100,2,3370.56,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars,136,YES,S10_4757,EMEA,France,Paris,C0131,Lyon Souveniers,27 rue du Colonel Pierre Avia
10400,64,Large,100,9,9661.44,4/1/2005 0:00,Shipped,2,4,2005,Classic Cars,136,YES,S10_4757,NA,USA,San Jose,C0132,The Sharp Gifts Warehouse,3086 Ingle Ln.
10414,19,Small,100,3,2764.88,5/6/2005 0:00,On Hold,2,5,2005,Classic Cars,136,NO,S10_4757,NA,USA,Boston,C0133,Gifts4AllAges.com,8616 Spinnaker Dr.
10103,42,Medium,100,4,5398.26,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,147,YES,S10_4962,EMEA,Norway,Stavern,C0134,Baane Mini Imports,Erling Skakkes gate 78
10114,31,Medium,100,8,4305.28,4/1/2003 0:00,Shipped,2,4,2003,Classic Cars,147,YES,S10_4962,EMEA,France,Paris,C0135,"La Corne D'abondance, Co.","265, boulevard Charonne"
10126,22,Medium,100,4,3347.74,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,147,YES,S10_4962,EMEA,Spain,Madrid,C0136,"Corrida Auto Replicas, Ltd","C/ Araquil, 67"
